REF,TYPE,AGE,TOTAL UK CAPACITY,MINIMUM OUTPUT,MAXIMUM OUTPUT,MAX RAMP UP,MAX RAMP DOWN,MAX START UP RAMP,MAX SHUT DOWN RAMP,INITIAL STATUS,PRIOR STATUS UP,PRIOR STATUS DOWN,PRIOR UP TIME,PRIOR DOWN TIME,MIN UP TIME,MIN DOWN TIME,STORAGE CAPACITY,MAX STORAGE HOURS,BATT EFFICIENCY,,
89,Gas oil,1972,50,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
90,Gas oil,1971,51,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
91,Gas oil,1982,140,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
92,Gas oil,1972,100,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
93,Gas oil,2006,17,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
94,Gas oil,1969,34,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
95,Gas oil,1994,25,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
96,Gas oil / kerosene,1996,140,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
97,Hydro,1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
98,Hydro,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
99,Hydro,1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
100,Hydro,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
101,Hydro,1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
102,Hydro,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
103,Hydro,1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
104,Hydro,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
105,Hydro,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
106,Hydro,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
107,Hydro,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
108,Hydro,1930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
109,Hydro,1933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
110,Hydro,1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
111,Hydro,1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
112,Hydro / pumped storage,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
113,Light oil,1995,9,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
114,Light oil,1994,9,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
115,Nuclear,1983,1050,0.8,1,0.1,0.1,0,0,1,1,0,360,0,48,24,0,0,0.7,,
116,Nuclear,1984,1180,0.8,1,0.1,0.1,0,0,1,1,0,360,0,48,24,0,0,0.7,,
117,Nuclear,1984,1155,0.8,1,0.1,0.1,0,0,1,1,0,360,0,48,24,0,0,0.7,,
118,Nuclear,1988,1230,0.8,1,0.1,0.1,0,0,1,1,0,360,0,48,24,0,0,0.7,,
119,Nuclear,1976,955,0.8,1,0.1,0.1,0,0,1,1,0,360,0,48,24,0,0,0.7,,
120,Nuclear,1976,965,0.8,1,0.1,0.1,0,0,1,1,0,360,0,48,24,0,0,0.7,,
121,Nuclear,1995,1198,0.8,1,0.1,0.1,0,0,1,1,0,360,0,48,24,0,0,0.7,,
122,Nuclear,1988,1185,0.8,1,0.1,0.1,0,0,1,1,0,360,0,48,24,0,0,0.7,,
123,OCGT,2002,1000,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
124,Pumped storage,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
125,Pumped storage,1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
126,Pumped storage,1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
127,Battery,2016,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.7,,
